,Play Type,Outcome
0,PnR Roll Man,0
1,PnR Roll Man,0
2,PnR Roll Man,0
3,PnR Roll Man,1
4,PnR Roll Man,1
5,Pull-Up,0
6,Pull-Up,0
7,Post-Up,1
8,Post-Up,1
9,Post-Up,0
10,Post-Up,0
11,Post-Up,0
12,Post-Up,0
13,Post-Up,0
14,Post-Up,0
15,Post-Up,0
16,Post-Up,0
17,Post-Up,0
18,Post-Up,0
19,Drive + Dump,1
20,Drive + Dump,1
21,Drive + Dump,1
22,Catch + Shoot,1
23,Catch + Shoot,0
24,Catch + Shoot,0
25,Catch + Shoot,0
26,Catch + Shoot,0
27,Offensive Rebound,0
28,Offensive Rebound,0
29,Offensive Rebound,1
30,Offensive Rebound,1
