,Play Type,Outcome
0,Drive Left,0
1,Drive Left,0
2,Drive Left,0
3,Drive Left,0
4,Drive Left,0
5,Drive Left,0
6,Drive Left,1
7,Drive Left,1
8,Catch + Shoot,1
9,Catch + Shoot,1
10,Catch + Shoot,1
11,Catch + Shoot,1
12,Catch + Shoot,1
13,Catch + Shoot,0
14,Catch + Shoot,0
15,Catch + Shoot,0
16,Catch + Shoot,0
17,Catch + Shoot,0
18,Catch + Shoot,0
19,Catch + Shoot,0
20,Catch + Shoot,0
21,Catch + Shoot,0
22,Catch + Shoot,0
23,Catch + Shoot,0
24,Catch + Shoot,0
25,Catch + Shoot,0
26,Drive Right,1
27,Drive Right,1
28,Drive Right,1
29,Drive Right,1
30,Drive Right,1
31,Drive Right,0
32,Drive Right,0
33,Drive Right,0
34,Drive Right,0
35,Off-Ball Cut,0
36,Off-Ball Cut,1
37,Off-Ball Cut,1
38,Off-Ball Cut,1
39,Off-Ball Cut,1
40,Off-Ball Cut,1
41,Pull-Up (2PT),0
42,Pull-Up (2PT),0
43,Pull-Up (2PT),0
44,Pull-Up (2PT),1
45,Pull-Up (2PT),1
46,Pull-Up (2PT),1
47,Pull-Up (3PT),0
48,Pull-Up (3PT),0
49,Pull-Up (3PT),0
50,Pull-Up (3PT),0
51,Pull-Up (3PT),0
52,Pull-Up (3PT),1
53,Pull-Up (3PT),1
54,Pull-Up (3PT),1
55,Offensive Rebound,1
56,Offensive Rebound,1
