,Play Type,Outcome
0,Catch-and-Shoot,0
1,Post-Up,1
2,Cut,0
3,Post-Up,1
4,Post-Up,0
5,Post-Up,0
6,Cut,1
7,Pull-Up,0
8,Cut,1
9,Catch-and-Shoot,0
10,Transition,1
11,Post-Up,F
12,Cut,0
13,Post-Up,0
14,Post-Up,F
15,Post-Up,1
16,Catch-and-Shoot,1
17,Catch-and-Shoot,1
18,Catch-and-Shoot,0
19,Catch-and-Shoot,0
20,Catch-and-Shoot,0
21,Catch-and-Shoot,0
22,Catch-and-Shoot,0
23,Post-Up,1
24,Cut,F
25,Post-Up,F
26,Post-Up,1
27,Transition,F
28,Cut,1
29,Catch-and-Shoot,0
30,Cut,1
31,Catch-and-Shoot,1
32,Post-Up,1
33,Offensive Rebound,0
34,Catch-and-Shoot,0
35,Catch-and-Shoot,0
36,Pull-Up,1
37,Catch-and-Shoot,1
38,Post-Up,F
39,Cut,0
40,Cut,F
41,Post-Up,0
42,Post-Up,0
43,Post-Up,0
44,Pull-Up,0
45,Catch-and-Shoot,1
46,Catch-and-Shoot,1
47,Catch-and-Shoot,1
48,Catch-and-Shoot,0
49,Catch-and-Shoot,1
50,Post-Up,0
51,Post-Up,1
52,Catch-and-Shoot,0
53,Post-Up,0
54,Catch-and-Shoot,1
55,Post-Up,0
56,Pull-Up,1
57,Catch-and-Shoot,1
58,Post-Up,1
59,Pull-Up,1
