Team,Game,Wins,URL,Ranking
Brandeis,0,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,4
Carnegie Mellon,0,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,6
Case Western,0,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,3
Chicago,0,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,0,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,2
NYU,0,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,0,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,5
WashU,0,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,1,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,4
Carnegie Mellon,1,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,6
Case Western,1,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,3
Chicago,1,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,1,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,2
NYU,1,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,1,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,5
WashU,1,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,4
Carnegie Mellon,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,6
Case Western,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,5
Chicago,2,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,3
NYU,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,2
WashU,2,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,3,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,3
Carnegie Mellon,3,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,6
Case Western,3,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,5
Chicago,3,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,3,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,2
NYU,3,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,3,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
WashU,3,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,4,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,3
Carnegie Mellon,4,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,6
Case Western,4,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,5
Chicago,4,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,4,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,2
NYU,4,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,4,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
