Team,Game,Wins,URL,Ranking
Brandeis,1,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,8
Carnegie Mellon,1,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,7
Emory,1,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,6
Chicago,1,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,5
Case Western,1,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,4
NYU,1,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,2
Rochester,1,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,3
WashU,1,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,2,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,8
Carnegie Mellon,2,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,7
Case Western,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Emory,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,5
NYU,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,4
Chicago,2,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,3
Rochester,2,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,2
WashU,2,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,3,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,8
Carnegie Mellon,3,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,7
Case Western,3,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
NYU,3,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,5
Emory,3,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,4
Chicago,3,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,3
Rochester,3,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,2
WashU,3,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Carnegie Mellon,4,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,8
Brandeis,4,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,7
Case Western,4,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Emory,4,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,5
NYU,4,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,4
Rochester,4,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,3
WashU,4,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Chicago,4,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,2
Carnegie Mellon,5,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,8
Brandeis,5,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,7
Case Western,5,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Emory,5,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,5
NYU,5,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,3
Rochester,5,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
WashU,5,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Chicago,5,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,2
Carnegie Mellon,6,0,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,8
Brandeis,6,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,7
Case Western,6,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Emory,6,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,5
Rochester,6,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
NYU,6,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,3
WashU,6,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Chicago,6,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,2
Brandeis,7,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,8
Carnegie Mellon,7,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,7
Case Western,7,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Emory,7,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,5
Rochester,7,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
NYU,7,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,3
Chicago,7,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,2
WashU,7,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,8,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,8
Carnegie Mellon,8,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,7
Case Western,8,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Emory,8,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,5
Rochester,8,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
Chicago,8,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,3
NYU,8,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,2
WashU,8,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
