,Date,Chicago,Opponent,Half,Time,Score,Team,Action,Substitution,Player,Lineup,Game,Boundary
0,"November 6, 2021",Away,Colorado College,1,19:44,0-0,Home,"Foul by KINNEY,SAM",0,Sam Kinney,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,1
1,"November 6, 2021",Away,Colorado College,1,19:31,0-0,Away,"Turnover by PASCHAL,ELLIOT",0,Elliot Paschal,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,0
2,"November 6, 2021",Away,Colorado College,1,19:22,0-2,Home,"ROUNAGHI,CHARLIE made jump shot",0,Charlie Rounaghi,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,0
3,"November 6, 2021",Away,Colorado College,1,19:22,0-2,Away,"Foul by MUNSON,ZACH",0,Zach Munson,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,0
4,"November 6, 2021",Away,Colorado College,1,19:22,0-3,Home,"ROUNAGHI,CHARLIE made free throw",0,Charlie Rounaghi,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,0
5,"November 6, 2021",Away,Colorado College,1,19:05,0-3,Away,"Foul by HOPKINS,BRYCE",0,Bryce Hopkins,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,0
6,"November 6, 2021",Away,Colorado College,1,19:05,0-3,Away,"Turnover by HOPKINS,BRYCE",0,Bryce Hopkins,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,0
7,"November 6, 2021",Away,Colorado College,1,18:48,0-5,Home,"ROUNAGHI,CHARLIE made layup",0,Charlie Rounaghi,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,0
8,"November 6, 2021",Away,Colorado College,1,18:48,0-5,Home,"Assist by PRICE,ADRIAN",0,Adrian Price,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,0
9,"November 6, 2021",Away,Colorado College,1,18:28,2-5,Away,"MARTIN,RYAN made jump shot",0,Ryan Martin,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,0
