,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
0,vs Luther,L,-8,67.6,0.96,1.14,24-63,8-29,9-10,27-63,10-25,9-9,26,40,27.3,51.5,39.4,17.8,24.9,UNW
1,at St. Scholastica,W,13,72.2,0.87,0.74,20-61,6-17,17-21,16-61,8-32,10-17,40,39,18.2,73.9,50.6,15.2,20.7,UNW
2,vs Macalester,L,-12,71.6,0.82,1.06,20-67,10-24,9-15,31-57,4-14,5-8,29,36,27.500000000000004,72.0,44.6,16.8,24.0,UNW
3,vs Lakeland,W,8,70.7,1.09,0.96,22-55,8-28,25-31,27-79,2-23,13-18,48,44,22.2,71.39999999999999,52.2,18.4,5.6000000000000005,UNW
4,at Maranatha Baptist,W,52,70.6,1.09,0.36,33-67,7-23,4-8,11-47,1-11,2-4,47,25,45.9,85.7,65.3,28.299999999999997,40.6,UNW
5,at Finlandia,L,-14,70.0,0.8,1.02,17-63,6-26,16-18,29-70,6-22,6-10,43,47,25.5,72.1,47.8,20.0,13.100000000000001,UNW
6,vs Crown (MN),W,23,66.6,0.99,0.62,25-55,5-20,11-19,16-57,5-25,6-9,34,33,30.3,70.6,50.7,24.0,30.4,UNW
7,vs Minn.-Morris,W,7,69.6,0.86,0.77,19-57,8-28,14-17,20-49,7-17,6-7,29,30,38.9,65.2,49.2,31.6,40.5,UNW
8,vs Wis.-Stout,L,-38,67.8,0.66,1.22,18-46,5-14,4-6,33-71,11-26,6-9,23,39,8.0,56.8,37.1,35.4,17.599999999999998,UNW
9,at Dubuque,L,-6,72.9,0.73,0.84,20-64,6-28,7-9,22-55,3-14,12-19,34,48,24.4,62.2,41.5,26.1,34.1,UNW
10,at Wartburg,L,-9,67.3,0.82,0.97,20-62,9-24,6-7,22-66,7-35,13-15,43,44,28.599999999999998,68.89999999999999,49.4,25.3,15.2,UNW
11,vs Simpson,L,-36,72.6,0.62,1.13,18-59,4-21,5-6,32-66,10-31,7-11,44,35,33.300000000000004,81.10000000000001,55.7,38.6,15.299999999999999,UNW
12,vs Finlandia,W,11,75.2,0.98,0.83,23-57,5-17,23-28,23-75,6-23,11-14,42,36,23.5,77.3,53.800000000000004,22.6,10.5,UNW
13,vs North Central (MN),W,9,66.7,1.1,0.95,20-60,11-25,22-26,25-68,9-30,5-7,44,43,32.6,68.2,50.6,18.0,19.3,UNW
14,vs Martin Luther,W,10,72.9,0.99,0.85,24-60,12-32,12-18,27-71,4-20,4-6,39,32,34.4,71.8,54.900000000000006,26.1,17.9,UNW
15,vs Bethany Lutheran,W,14,70.1,1.01,0.86,26-61,10-25,9-16,19-57,6-22,13-18,39,30,32.4,80.0,56.49999999999999,22.8,16.6,UNW
16,at Wis.-Superior,W,5,55.0,0.84,0.72,15-41,1-15,15-21,15-58,5-22,6-8,40,34,17.2,77.8,54.1,21.8,14.000000000000002,UNW
17,at Northland,W,33,73.5,1.21,0.77,33-66,14-34,9-15,21-74,8-35,6-9,48,32,35.5,75.5,60.0,20.4,13.700000000000001,UNW
18,at North Central (MN),W,33,68.9,0.97,0.49,28-66,5-18,6-13,14-70,3-27,3-9,52,49,26.200000000000003,69.5,51.5,16.0,23.200000000000003,UNW
19,at Minn.-Morris,W,23,67.7,1.05,0.72,25-62,14-36,7-8,16-59,5-18,11-17,48,34,43.2,71.1,58.5,31.0,24.0,UNW
20,at Crown (MN),W,30,60.2,1.28,0.75,27-43,12-23,11-13,18-56,9-31,2-6,27,21,14.299999999999999,73.5,56.2,26.6,25.4,UNW
21,vs Northland,W,12,59.1,1.2,1.0,25-62,11-28,10-15,22-64,10-19,5-6,45,31,42.9,73.2,59.199999999999996,13.5,10.100000000000001,UNW
22,vs Wis.-Superior,L,-2,70.5,0.78,0.91,18-55,6-22,13-17,19-52,7-18,12-16,26,35,21.2,67.9,42.6,25.5,24.0,UNW
23,at Bethany Lutheran,W,18,62.4,1.11,0.82,29-67,6-25,5-9,20-51,5-13,6-11,44,30,50.0,70.6,59.5,22.400000000000002,30.5,UNW
24,at Martin Luther,W,28,67.5,1.14,0.71,28-67,11-33,10-12,19-62,4-19,7-11,37,36,31.6,71.39999999999999,50.7,14.799999999999999,21.7,UNW
25,vs Minn.-Morris,W,13,59.7,1.14,0.85,24-63,8-26,12-14,25-62,2-12,3-5,44,23,52.900000000000006,78.8,65.7,18.4,15.5,UNW
26,vs North Central (MN),W,15,69.5,0.82,0.6,23-69,3-24,8-19,18-61,4-19,2-8,58,41,35.8,84.8,58.599999999999994,20.200000000000003,22.7,UNW
27,Total,,232,67.6,0.96,0.84,624-1618,211-665,299-411,587-1681,161-603,191-287,1073,967,31.3,72.2,52.6,23.1,21.3,UNW
