,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%
0,Wartburg College (Iowa),W,11,75.9,1.24,1.09,38-74,12-28,6-7,30-70,8-17,15-21,34,35,29.000000000000000,65.8,49.3,14.500000000000000,17.1
1,Bethel Univ. (Minn.),W,3,62.1,0.89,0.8,21-54,7-19,6-13,22-54,1-7,7-11,37,21,43.3,85.7,63.800000000000000,29.000000000000000,20.0
2,Minn.-Morris,W,21,69.2,0.95,0.66,28-69,6-27,4-7,16-48,5-15,8-13,42,30,32.4,85.7,58.3,17.300000000000000,32.4
3,Denison,W,26,73.1,1.12,0.76,31-68,8-24,12-14,19-62,6-20,12-16,50,31,31.6,88.4,61.7,19.1,17.600000000000000
4,Hope College (Mich.),L,-12,77.0,1.0,1.13,30-70,9-23,8-14,33-62,9-22,14-21,35,39,23.800000000000000,78.10000000000000,47.3,18.2,22.8
5,St. Norbert,W,22,66.7,1.17,0.84,34-72,9-24,1-1,21-75,6-30,8-10,41,36,46.7,57.4,53.2,16.5,15.0
6,Northland,W,42,71.9,1.15,0.56,28-62,8-23,19-27,15-58,4-21,7-13,55,29,45.9,80.9,65.5,25.0,29.9
7,UW-River Falls*,W,3,70.5,1.05,0.98,24-56,4-17,22-35,25-71,8-27,13-19,43,43,16.2,75.5,50.0,11.4,11.1
8,UW-La Crosse*,W,12,68.7,0.99,0.82,26-61,4-14,12-15,22-64,6-21,6-10,45,37,27.0,77.8,54.900000000000000,20.4,19.0
9,Bethany Lutheran,W,35,70.3,1.12,0.64,36-67,6-10,1-5,15-65,5-29,9-14,48,36,33.300000000000000,72.5,57.100000000000000,21.3,21.7
10,Loras (Iowa),L,-9,76.3,1.04,1.19,31-67,8-28,9-17,31-63,9-31,17-20,30,36,27.800000000000000,66.7,45.5,19.7,20.3
11,Trine,W,7,70.4,1.06,0.98,28-63,8-23,11-19,21-59,4-20,22-30,38,45,17.5,72.1,45.800000000000000,12.8,17.300000000000000
12,DePauw (Ind.),W,14,64.8,1.0,0.78,22-62,8-28,13-17,18-62,3-16,12-12,45,38,34.1,73.8,54.2,18.5,18.3
13,UW-Oshkosh*,W,9,60.2,1.03,0.86,22-54,7-24,11-13,17-58,7-28,12-14,35,32,13.3,83.8,52.2,11.600000000000000,9.700000000000000
14,UW-Whitewater*,L,-10,70.7,0.98,1.1,28-58,5-13,8-15,31-66,7-14,10-16,35,40,27.800000000000000,64.1,46.7,26.900000000000000,22.2
15,UW-Platteville*,W,16,66.8,1.12,0.85,29-67,8-15,9-15,21-57,7-23,10-12,44,29,39.5,82.90000000000000,60.3,16.5,23.1
16,UW-Stevens Point*,W,19,62.6,0.91,0.6,21-54,5-18,10-14,16-58,2-22,4-12,45,35,35.3,71.7,56.2,27.200000000000000,25.1
17,UW-Stout*,W,26,67.7,1.25,0.9,30-56,8-22,17-24,21-61,8-29,9-15,41,32,20.7,79.5,56.2,14.800000000000000,15.2
18,UW-La Crosse*,W,4,70.5,0.91,0.86,25-64,6-23,8-17,21-66,9-30,9-12,46,45,25.0,74.5,50.5,18.4,18.7
19,UW-River Falls*,L,-11,71.4,0.98,1.16,26-62,5-22,13-19,29-59,9-25,14-22,35,39,20.5,77.10000000000000,47.3,16.8,17.2
20,UW-Oshkosh*,L,-8,67.7,0.84,0.98,20-66,11-32,6-8,21-53,8-27,15-23,40,42,29.2,76.5,48.8,22.2,21.100000000000000
21,UW-Whitewater*,L,-32,64.9,0.8,1.22,21-64,3-14,7-15,28-61,10-21,18-20,43,38,40.400000000000000,70.6,53.1,24.7,17.4
22,UW-Platteville*,W,6,65.8,0.99,0.89,26-53,8-18,5-8,25-66,8-29,1-2,38,31,17.9,80.5,55.1,25.8,15.1
23,UW-Stevens Point*,W,12,66.8,1.08,0.91,24-49,7-15,17-24,22-60,7-22,9-16,35,35,17.2,73.2,50.0,22.5,19.6
24,UW-Stout*,L,-18,67.2,0.67,0.93,19-74,3-24,4-9,21-61,4-16,17-20,52,44,41.100000000000000,72.5,54.2,22.3,17.7
25,UW-Platteville,W,10,65.5,0.99,0.83,25-58,5-23,10-12,20-57,8-20,7-10,42,33,17.1,90.0,56.00000000000000,16.8,18.0
26,UW-Stout,W,1,70.5,0.97,0.96,26-66,7-21,9-10,26-63,8-25,7-13,37,40,25.6,71.1,48.1,18.4,21.5
27,UW-Whitewater,L,-9,62.6,0.99,1.11,23-60,3-19,13-21,25-60,6-19,15-18,36,40,37.5,58.3,47.4,17.600000000000000,21.8
28,Total,,408,68.0,1.02,0.91,742-1750,188-591,271-415,632-1719,182-626,307-435,1147,1011,29.6,75.1,53.2,19.6,19.7
