,Lineup,GP,MP,POSS,OPP POSS,PPP,OPP PPP,PTS DIFF PER80,REB,OPP REB,ORB%,DRB%,RB%,TO%
0,"Elizabeth Shaw, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Van Soest",13,212.9,176.0256,177.6,0.7953388598022106,0.7488738738738739,3.717198874266936,74,72,0.24691358024691357,0.8307692307692308,0.5068493150684932,0.21144767899291894
1,"Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Van Soest",17,184.17,232.4352,215.7312,0.8432457734456743,0.6628619318856058,14.430707324805478,115,92,0.4051724137931034,0.7472527472527473,0.5555555555555556,0.13489208633093525
2,"Bella Alfaro, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Van Soest",8,47.03,72.384,64.9344,0.7874668435013262,0.5544056771141337,18.644893310975405,41,34,0.18518518518518517,0.75,0.5466666666666666,0.21144278606965172
3,"Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens, Peyton Van Soest",7,29.28,67.96799999999999,66.7008,0.7209274952919021,0.6146852811360584,8.499377132467503,26,26,0.3103448275862069,0.7391304347826086,0.5,0.10025062656641605
4,"Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik, Marissa Powe",13,26.0,58.175999999999995,58.752,0.721947194719472,0.6638071895424836,4.651200414159069,35,20,0.3333333333333333,0.8709677419354839,0.6363636363636364,0.17492711370262393
5,"Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens, Marissa Powe",11,22.78,52.41599999999999,46.0416,0.9348290598290601,0.8904990269669169,3.5464026289714567,21,17,0.4444444444444444,0.8181818181818182,0.5526315789473685,0.07507507507507508
6,"Elizabeth Shaw, Grace Hynes, Klaire Steffens, Mallory Brodnik, Marissa Powe",5,22.65,24.8448,22.924799999999998,0.44274858320453375,0.8287967615857064,-30.88385427049381,10,13,0.26666666666666666,0.75,0.43478260869565216,0.2677376171352075
7,"Elizabeth Shaw, Klaire Steffens, Mallory Brodnik, Marissa Powe, Peyton Van Soest",4,20.08,15.244799999999998,18.124799999999997,0.8527497900923595,0.6069032485875707,19.667723320383104,8,12,0.2857142857142857,0.46153846153846156,0.4,0.22371364653243844
8,"Ellie Gross, Klaire Steffens, Mallory Brodnik, Marissa Powe, Peyton Van Soest",8,18.25,39.744,41.663999999999994,0.8303140096618358,0.7200460829493088,8.821434137002155,16,15,0.3333333333333333,0.7692307692307693,0.5161290322580645,0.14767932489451477
9,"Ashley Gao, Ellie Gross, Klaire Steffens, Marissa Powe, Peyton Van Soest",9,17.63,42.39359999999999,34.636799999999994,0.6604770531400967,0.5485495195861051,8.954202684319332,15,16,0.29411764705882354,0.7142857142857143,0.4838709677419355,0.10170870626525631
