,Play Type,Outcome
0,Post Kick,0
1,Post-Up (Left),1
2,Transition,0
3,Drive + Kick,0
4,Drive + Kick,1
5,PnR Drive,1
6,Down Screen,1
7,Pull-Up (2PT),0
8,Closeout Drive,0
9,Pull-Up (3PT),0
10,Post-Up (Left),1
11,Post-Up (Left),1
12,Pull-Up (3PT),0
13,Post Kick,0
14,Isolation Drive,0
15,Drive + Kick,0
16,Pull-Up (2PT),0
17,Closeout Drive,F
18,Post Kick,1
19,Drive + Kick,0
20,Drive + Kick,0
21,Isolation Drive,0
22,Post Kick,0
23,Offensive Rebound,F
24,Transition,0
25,Closeout Drive,0
26,Post Kick,0
27,PnR Drive,0
28,Post Kick,0
29,Pull-Up (2PT),1
30,Post Kick,0
31,Post-Up (Left),0
32,Isolation Drive,0
33,Isolation Drive,0
34,Drive + Kick,1
35,PnR Drive,F
36,PnR Roll Man,1
37,Isolation Drive,1
38,Isolation Drive,F
39,PnR Drive,F
40,PnR Drive,1
41,Transition,0
42,Drive + Kick,1
43,Closeout Drive,1
44,Isolation Drive,0
45,Transition,0
46,Drive + Kick,0
47,Isolation Drive,0
48,Pull-Up (3PT),0
49,Perimeter/Pass,0
50,Pull-Up (2PT),1
51,Pull-Up (3PT),0
52,Isolation Drive,0
53,Pull-Up (3PT),0
54,PnR Drive,0
55,Closeout Drive,F
56,Transition,0
57,Transition,0
58,Transition,1
