,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
0,"Elizabeth Shaw, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Van Soest",13,212.9,140,133,7,31,20,11,54,0.43,152,0.49,142,0.44,41,0.43,30,19,0.53,43,43,16,5,27,26
1,"Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Van Soest",17,184.17,196,143,53,42,47,23,68,0.47,229,0.45,180,0.25,81,0.31,29,48,0.79,39,51,27,10,36,50
2,"Bella Alfaro, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Van Soest",8,47.03,57,36,21,7,5,12,36,0.49,59,0.28,67,0.29,14,0.17,18,10,0.5,17,10,5,3,9,12
3,"Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens, Peyton Van Soest",7,29.28,49,41,8,9,9,6,17,0.49,63,0.5,50,0.2,10,0.5,4,20,0.75,8,18,7,1,13,15
4,"Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik, Marissa Powe",13,26.0,42,39,3,9,8,4,27,0.52,50,0.39,51,0.43,7,0.19,16,15,0.87,12,12,7,5,4,14
5,"Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens, Marissa Powe",11,22.78,49,41,8,13,12,2,9,0.47,55,0.65,34,0.4,15,0.5,10,15,0.6,5,12,8,1,9,14
6,"Elizabeth Shaw, Grace Hynes, Klaire Steffens, Mallory Brodnik, Marissa Powe",5,22.65,11,19,-8,3,4,2,6,0.29,21,0.53,17,0.0,1,0.43,7,2,0.5,8,8,5,0,5,5
7,"Elizabeth Shaw, Klaire Steffens, Mallory Brodnik, Marissa Powe, Peyton Van Soest",4,20.08,13,11,2,3,2,7,6,0.46,13,0.3,20,0.5,4,0.0,3,2,0.5,4,5,2,1,6,3
8,"Ellie Gross, Klaire Steffens, Mallory Brodnik, Marissa Powe, Peyton Van Soest",8,18.25,33,30,3,8,6,3,10,0.5,36,0.59,32,0.6,5,0.29,7,10,0.6,7,10,6,0,13,12
9,"Ashley Gao, Ellie Gross, Klaire Steffens, Marissa Powe, Peyton Van Soest",9,17.63,28,19,9,4,5,4,10,0.47,38,0.42,26,0.25,4,0.5,2,14,0.64,5,11,7,1,8,9
10,"Ashley Gao, Elizabeth Shaw, Grace Hynes, Klaire Steffens, Peyton Van Soest",5,14.3,13,30,-17,2,3,5,7,0.33,21,0.56,27,0.0,3,0.6,5,2,0.5,9,8,2,2,2,4
11,"Grace Hynes, Klaire Steffens, Mallory Brodnik, Marissa Powe, Peyton Van Soest",4,14.05,19,25,-6,3,8,6,5,0.52,25,0.46,24,0.0,3,0.45,11,8,0.88,8,7,2,0,6,8
12,"Ellie Gross, Grace Hynes, Kati Heller, Klaire Steffens, Peyton Van Soest",5,13.65,27,31,-4,7,3,5,10,0.47,30,0.56,39,0.25,12,0.0,3,5,0.8,6,4,2,2,11,4
13,"Bella Alfaro, Grace Hynes, Kati Heller, Klaire Steffens, Peyton Van Soest",5,13.12,27,19,8,3,4,1,7,0.52,29,0.52,21,0.4,10,0.25,4,8,0.88,6,6,2,0,7,10
14,"Ellie Gross, Grace Hynes, Kati Heller, Klaire Steffens, Marissa Powe",5,12.68,24,30,-6,2,5,2,6,0.48,25,0.65,23,0.25,8,0.56,9,2,1.0,3,4,3,2,3,2
15,"Ashley Gao, Bella Alfaro, Klaire Steffens, Marissa Powe, Sophia North",5,11.68,14,10,4,3,2,5,7,0.53,17,0.26,19,0.0,1,0.0,4,6,0.67,6,5,4,2,1,4
16,"Bella Alfaro, Grace Hynes, Klaire Steffens, Mallory Brodnik, Marissa Powe",3,9.95,13,16,-3,3,3,4,4,0.4,20,0.53,19,0.17,6,0.0,2,8,0.5,1,3,2,0,7,8
