,Play Type,Outcome
0,Post Kick,0
1,Post Kick,0
2,Post Kick,0
3,Pull-Up,1
4,Pull-Up,1
5,Pull-Up,0
6,Pull-Up,0
7,Pull-Up,0
8,Pull-Up,0
9,Post-Up,0
10,Post-Up,0
11,Post-Up,0
12,Post-Up,1
13,Post-Up,1
14,Offensive Rebound,1
15,Offensive Rebound,1
16,Offensive Rebound,1
17,Offensive Rebound,F
18,Offensive Rebound,0
19,PnR Drive,1
20,PnR Drive,1
21,PnR Drive,0
22,PnR Drive,0
23,PnR Drive,0
24,Drive + Kick,0
25,Drive + Kick,0
26,Drive + Kick,0
27,Drive + Kick,0
28,Drive + Kick,0
29,Drive + Kick,0
30,Drive + Kick,1
31,Drive + Kick,1
32,Drive + Kick,1
33,Drive + Kick,1
34,Drive + Kick,1
35,Drive + Kick,1
36,Drive + Kick,F
37,Transition,0
38,Transition,1
39,Transition,1
40,Transition,1
41,Transition,1
42,Isolation/Drive,1
43,Isolation/Drive,1
44,Isolation/Drive,1
45,Isolation/Drive,1
46,Isolation/Drive,1
47,Isolation/Drive,1
48,Isolation/Drive,1
49,Isolation/Drive,1
50,Isolation/Drive,1
51,Isolation/Drive,0
52,Isolation/Drive,0
53,Isolation/Drive,0
54,Isolation/Drive,0
55,Isolation/Drive,F
56,Isolation/Drive,F
57,Off-Ball Cut,0
58,Off-Ball Cut,F
59,Off-Ball Cut,1
60,Off-Ball Cut,1
61,Perimeter/Pass,0
62,Perimeter/Pass,0
63,Perimeter/Pass,0
64,Perimeter/Pass,0
65,Perimeter/Pass,0
66,Perimeter/Pass,0
67,Perimeter/Pass,0
68,Perimeter/Pass,1
69,Perimeter/Pass,1
