,Play Type,Outcome
0,Post Kick,0
1,Post Kick,0
2,Post Kick,0
3,Post Kick,0
4,Isolation/Drive,1
5,Isolation/Drive,1
6,Isolation/Drive,1
7,Isolation/Drive,1
8,Isolation/Drive,1
9,Isolation/Drive,1
10,Isolation/Drive,0
11,Isolation/Drive,0
12,Isolation/Drive,0
13,Isolation/Drive,F
14,Isolation/Drive,F
15,Isolation/Drive,F
16,Off-Ball Cut,0
17,Off-Ball Cut,0
18,Off-Ball Cut,1
19,Off-Ball Cut,1
20,Off-Ball Cut,1
21,Off-Ball Cut,F
22,Off-Ball Cut,F
23,Off-Ball Cut,F
24,Perimeter/Pass,0
25,Perimeter/Pass,0
26,Perimeter/Pass,0
27,Perimeter/Pass,0
28,Perimeter/Pass,0
29,Perimeter/Pass,0
30,Perimeter/Pass,0
31,Perimeter/Pass,0
32,Perimeter/Pass,0
33,Perimeter/Pass,1
34,Transition,F
35,Transition,F
36,Transition,1
37,Transition,1
38,Transition,1
39,Transition,1
40,Pull-Up,0
41,Pull-Up,0
42,Pull-Up,0
43,Pull-Up,0
44,Pull-Up,1
45,Pull-Up,1
46,Pull-Up,1
47,Pull-Up,1
48,Post-Up,0
49,Post-Up,0
50,Post-Up,0
51,Post-Up,0
52,Post-Up,0
53,Post-Up,0
54,Post-Up,1
55,Post-Up,1
56,Drive + Kick,0
57,Drive + Kick,0
58,Drive + Kick,0
59,Drive + Kick,1
60,Drive + Kick,1
61,Drive + Kick,1
62,PnR Drive,0
63,PnR Drive,F
64,Offensive Rebound,1
65,Offensive Rebound,F
