,Team,Field Goal,Field Goal %,3 Point,3 Point %,Free Throw,Free Throw %,Rebounds,Assists,Turnovers,Points off Turnovers,2nd Chance Points,Bench Points,OREB,DREB,STL,BLK,PF,PTS,Opponent,Date,AST,REB,TOV,PTS OFF TOV,2ND CHANCE,BENCH,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,Chicago,Points in the Paint,Fastbreak Points,Largest Lead,Time of Largest Lead,PAINT,FASTBREAK
0,Chicago,28-60,46.7%,7-19,36.8%,5-8,62.5%,40,13,17,19,7,11,11,29,9,6,14,68,North Central (Ill.),"November 12, 2022",13,40,17,19,7,11,28,60,7,19,5,8,46.7,36.8,62.5,True,,,,,,
1,North Central (Ill.),18-64,28.1%,6-19,31.6%,6-8,75.0%,36,11,17,5,11,30,16,20,7,4,11,48,North Central (Ill.),"November 12, 2022",11,36,17,5,11,30,18,64,6,19,6,8,28.1,31.6,75.0,False,,,,,,
2,Chicago,19-53,35.8%,1-13,7.7%,25-30,83.3%,53,8,14,12,22,15,17,36,5,2,23,64,Benedictine (Ill.),"November 13, 2022",8,53,14,12,22,15,19,53,1,13,25,30,35.8,7.7,83.3,True,28.0,6.0,36.0,4th-03:31,28.0,6.0
3,Benedictine (Ill.),9-56,16.1%,1-23,4.3%,17-25,68.0%,33,5,11,12,8,20,15,18,6,2,24,36,Benedictine (Ill.),"November 13, 2022",5,33,11,12,8,20,9,56,1,23,17,25,16.1,4.3,68.0,False,16.0,0.0,0.0,-,16.0,0.0
4,Colorado College,24-68,35.3%,2-23,8.7%,22-25,88.0%,36,13,16,11,18,36,12,24,6,0,24,72,Colorado College,"November 19, 2022",13,36,16,11,18,36,24,68,2,23,22,25,35.3,8.7,88.0,False,38.0,9.0,0.0,-,38.0,9.0
5,Chicago,28-56,50.0%,9-18,50.0%,18-26,69.2%,36,14,18,20,3,7,5,31,7,0,21,83,Colorado College,"November 19, 2022",14,36,18,20,3,7,28,56,9,18,18,26,50.0,50.0,69.19999999999999,True,32.0,11.0,21.0,3rd-06:19,32.0,11.0
6,Carroll (Wis.),22-67,32.8%,6-26,23.1%,11-15,73.3%,34,13,15,21,6,19,13,21,10,1,14,61,Carroll (Wis.),"November 22, 2022",13,34,15,21,6,19,22,67,6,26,11,15,32.800000000000004,23.1,73.3,False,32.0,8.0,7.0,1st-05:27,32.0,8.0
7,Chicago,26-51,51.0%,6-17,35.3%,12-16,75.0%,39,20,22,13,4,15,6,33,5,2,17,70,Carroll (Wis.),"November 22, 2022",20,39,22,13,4,15,26,51,6,17,12,16,51.0,35.3,75.0,True,32.0,12.0,17.0,3rd-06:40,32.0,12.0
8,Carthage,23-49,46.9%,9-20,45.0%,17-23,73.9%,26,11,8,6,2,30,4,22,2,1,19,72,Carthage,"November 27, 2022",11,26,8,6,2,30,23,49,9,20,17,23,46.9,45.0,73.9,False,24.0,5.0,6.0,,24.0,5.0
9,Chicago,24-53,45.3%,12-25,48.0%,20-22,90.9%,30,15,8,9,8,3,7,23,4,4,15,80,Carthage,"November 27, 2022",15,30,8,9,8,3,24,53,12,25,20,22,45.300000000000004,48.0,90.9,True,18.0,6.0,10.0,,18.0,6.0
10,Chicago,26-55,47.3%,3-12,25.0%,16-26,61.5%,38,14,14,28,9,22,12,26,13,4,17,71,Eureka,"November 30, 2022",14,38,14,28,9,22,26,55,3,12,16,26,47.3,25.0,61.5,True,40.0,6.0,23.0,4th-02:17,40.0,6.0
11,Eureka,16-55,29.1%,2-18,11.1%,14-21,66.7%,37,5,23,10,9,11,16,21,5,0,20,48,Eureka,"November 30, 2022",5,37,23,10,9,11,16,55,2,18,14,21,29.099999999999998,11.1,66.7,False,24.0,2.0,0.0,-,24.0,2.0
12,Chicago,24-63,38.1%,3-17,17.6%,5-11,45.5%,48,9,15,8,13,3,17,31,13,5,8,56,Wheaton (Ill.),"December 3, 2022",9,48,15,8,13,3,24,63,3,17,5,11,38.1,17.599999999999998,45.5,True,42.0,2.0,19.0,4th-01:53,42.0,2.0
13,Wheaton (Ill.),15-54,27.8%,5-18,27.8%,2-4,50.0%,36,10,18,11,3,14,9,27,7,5,14,37,Wheaton (Ill.),"December 3, 2022",10,36,18,11,3,14,15,54,5,18,2,4,27.800000000000004,27.800000000000004,50.0,False,12.0,2.0,5.0,1st-00:33,12.0,2.0
14,UW-Whitewater,22-56,39.3%,9-15,60.0%,5-9,55.6%,36,12,22,14,7,9,13,23,8,2,18,58,UW-Whitewater,"December 14, 2022",12,36,22,14,7,9,22,56,9,15,5,9,39.300000000000004,60.0,55.60000000000001,False,22.0,5.0,13.0,3rd-03:05,22.0,5.0
15,Chicago,21-51,41.2%,5-15,33.3%,16-20,80.0%,33,8,17,21,7,10,9,24,6,6,15,63,UW-Whitewater,"December 14, 2022",8,33,17,21,7,10,21,51,5,15,16,20,41.199999999999996,33.300000000000004,80.0,True,30.0,6.0,6.0,4th-00:20,30.0,6.0
0,Chicago,21-52,40.4%,6-19,31.6%,11-12,91.7%,41,15,18,10,2,15,9,32,2,9,18,59,Wis. Lutheran,"December 18, 2022",15,41,18,10,2,15,21,52,6,19,11,12,40.400000000000006,31.6,91.7,True,16,4,13,2nd-02:30,16,4
1,Wis. Lutheran,18-55,32.7%,6-19,31.6%,12-17,70.6%,30,15,11,10,2,21,7,23,8,2,12,54,Wis. Lutheran,"December 18, 2022",15,30,11,10,2,21,18,55,6,19,12,17,32.7,31.6,70.6,False,22,2,9,1st-02:43,22,2
