,Date,Chicago,Opponent,Quarter,Time,Score,Team,Action,Substitution,Player,Lineup,Points,Game
0,"November 9, 2021",Home,Carthage,1,09:37,0-2,Away,"HERRMANN,LAUREN made jump shot",0,Lauren Herrmann,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",2,1
1,"November 9, 2021",Home,Carthage,1,09:07,0-2,Home,"SHAW,ELIZABETH missed jump shot",0,Elizabeth Shaw,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
2,"November 9, 2021",Home,Carthage,1,09:02,0-2,Away,"COSHUN,KELSEY defensive rebound",0,Kelsey Coshun,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
3,"November 9, 2021",Home,Carthage,1,08:46,0-2,Away,"COSHUN,KELSEY missed jump shot",0,Kelsey Coshun,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
4,"November 9, 2021",Home,Carthage,1,08:38,0-2,Home,"BRODNIK,MALLORY defensive rebound",0,Mallory Brodnik,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
5,"November 9, 2021",Home,Carthage,1,08:32,3-2,Home,"HYNES,GRACE made 3-pt. jump shot",0,Grace Hynes,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",3,1
6,"November 9, 2021",Home,Carthage,1,07:57,3-2,Away,"Turnover by KNIGHT,LAUREN",0,Lauren Knight,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
7,"November 9, 2021",Home,Carthage,1,07:57,3-2,Home,"Steal by STEFFENS,KLAIRE",0,Klaire Steffens,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
8,"November 9, 2021",Home,Carthage,1,07:50,3-2,Home,"STEFFENS,KLAIRE missed jump shot",0,Klaire Steffens,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
9,"November 9, 2021",Home,Carthage,1,07:46,3-2,Away,"KNIGHT,LAUREN defensive rebound",0,Lauren Knight,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
10,"November 9, 2021",Home,Carthage,1,07:40,3-2,Away,"KNIGHT,LAUREN missed layup",0,Lauren Knight,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
11,"November 9, 2021",Home,Carthage,1,07:38,3-2,Home,"VAN SOEST,PEYTON defensive rebound",0,Peyton Soest,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
12,"November 9, 2021",Home,Carthage,1,07:26,3-2,Home,"Turnover by VAN SOEST,PEYTON",0,Peyton Soest,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
13,"November 9, 2021",Home,Carthage,1,07:26,3-2,Away,"Steal by HERRMANN,LAUREN",0,Lauren Herrmann,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
14,"November 9, 2021",Home,Carthage,1,07:21,3-4,Away,"HERRMANN,LAUREN made layup",0,Lauren Herrmann,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",2,1
