,Play Type,Outcome
0,Post-Up (Left),0
1,Post-Up (Left),0
2,Post-Up (Left),1
3,Post-Up (Left),1
4,Post-Up (Right),1
5,Post-Up (Right),1
6,Post-Up (Right),1
7,Post-Up (Right),1
8,Post-Up (Right),1
9,Post-Up (Right),1
10,Post-Up (Right),1
11,Post-Up (Right),1
12,Post-Up (Right),1
13,Post-Up (Right),1
14,Post-Up (Right),1
15,Post-Up (Right),1
16,Post-Up (Right),1
17,Post-Up (Right),1
18,Post-Up (Right),0
19,Post-Up (Right),0
20,Post-Up (Right),0
21,Post-Up (Right),0
22,Post-Up (Right),0
23,Post-Up (Right),0
24,Post-Up (Right),0
25,Catch + Shoot,0
26,Catch + Shoot,0
27,Catch + Shoot,0
28,Catch + Shoot,0
29,Catch + Shoot,0
30,Catch + Shoot,0
31,Catch + Shoot,0
32,Catch + Shoot,0
33,Drive + Dump,1
34,Drive + Dump,0
35,Offensive Rebound,1
36,Offensive Rebound,0
