,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
0,vs Alvernia,W,43,83.8,1.2,0.7,36-86,10-30,19-28,21-57,5-18,11-25,53,49,39.7,68.2,52.0,14.299999999999999,38.800000000000004,NYU
1,vs Haverford,W,11,76.6,1.11,0.95,29-65,4-17,23-29,26-78,4-18,18-20,53,41,46.300000000000004,64.2,56.39999999999999,27.400000000000002,16.8,NYU
2,at Vassar,W,36,67.5,1.19,0.64,31-63,9-29,9-12,17-62,6-22,4-8,47,33,35.3,76.1,58.8,20.8,24.8,NYU
3,vs Kean,W,21,64.6,1.1,0.75,28-66,9-21,6-12,17-44,5-13,11-20,42,30,47.599999999999994,73.3,58.3,24.8,37.3,NYU
4,vs Colby,W,43,67.0,1.19,0.56,33-64,10-17,4-4,13-60,0-14,11-19,48,34,32.300000000000004,74.5,58.5,20.9,21.0,NYU
5,at Brooklyn,W,38,74.3,1.17,0.62,32-72,17-40,6-10,19-59,4-17,7-11,43,32,36.1,76.9,57.3,18.8,35.199999999999996,NYU
6,vs Connecticut Col.,W,64,72.5,1.26,0.39,36-69,15-34,4-8,9-54,1-11,8-10,43,37,25.7,75.6,53.800000000000004,16.6,36.0,NYU
7,at Tufts,W,20,70.0,1.06,0.75,27-61,6-20,14-18,21-65,7-12,5-7,46,34,34.300000000000004,75.6,57.49999999999999,22.900000000000002,25.0,NYU
8,vs Stockton,W,58,64.8,1.31,0.41,31-69,9-22,14-17,11-54,2-13,3-4,46,37,45.0,65.10000000000001,55.400000000000006,13.900000000000002,42.4,NYU
9,vs Bowdoin,W,3,69.4,1.12,1.13,29-59,4-16,16-28,28-68,11-23,8-12,34,44,30.599999999999998,54.800000000000004,43.6,17.299999999999997,22.6,NYU
10,at Brandeis,W,32,77.3,1.01,0.59,31-77,6-29,10-17,17-48,1-8,11-16,39,41,28.299999999999997,76.5,48.8,11.600000000000001,43.7,NYU
11,at Univ. of Chicago,L,-14,74.6,0.76,0.97,21-64,8-26,7-13,24-60,3-11,20-27,29,56,20.0,50.0,34.1,22.8,32.9,NYU
12,at WashU,L,-1,68.9,0.81,0.84,18-60,6-24,14-20,19-52,6-16,13-20,32,38,21.6,72.7,45.7,16.0,28.000000000000004,NYU
13,vs Emory,W,13,73.4,1.04,0.85,33-72,2-11,8-17,24-65,7-21,8-10,43,37,33.300000000000004,73.2,53.800000000000004,13.600000000000001,25.6,NYU
14,Total,,367,71.2,1.1,0.73,415-947,115-336,154-233,266-826,62-217,138-209,598,543,34.2,69.6,52.4,18.8,31.0,NYU
