,Play Type,Outcome
0,Catch + Shoot (3PT),0
1,Catch + Shoot (3PT),0
2,Catch + Shoot (3PT),0
3,Catch + Shoot (3PT),0
4,Catch + Shoot (3PT),0
5,Catch + Shoot (3PT),0
6,Catch + Shoot (3PT),0
7,Catch + Shoot (3PT),0
8,Catch + Shoot (3PT),0
9,Catch + Shoot (3PT),0
10,Catch + Shoot (3PT),1
11,Catch + Shoot (3PT),1
12,Catch + Shoot (3PT),1
13,Catch + Shoot (3PT),1
14,Drive Right,0
15,Drive Right,0
16,Drive Right,0
17,Drive Right,0
18,Drive Right,0
19,Drive Right,0
20,Drive Right,1
21,Drive Right,1
22,Drive Right,1
23,Transition,0
24,Transition,1
25,Transition,1
26,Transition,1
27,Transition,1
28,Transition,1
29,Transition,1
30,Drive Left,0
31,Drive Left,1
32,Off-Ball Cut,1
33,Pull-Up (2PT),0
34,Pull-Up (2PT),0
35,Pull-Up (2PT),0
36,Pull-Up (2PT),0
37,Pull-Up (2PT),0
38,Pull-Up (2PT),0
39,Pull-Up (2PT),0
40,Pull-Up (2PT),0
41,Pull-Up (2PT),0
42,Pull-Up (2PT),1
43,Pull-Up (2PT),1
44,Pull-Up (2PT),1
45,Pull-Up (2PT),1
46,Pull-Up (2PT),1
47,Pull-Up (2PT),1
48,Pull-Up (2PT),1
49,Pull-Up (2PT),1
50,Pull-Up (2PT),1
51,Pull-Up (2PT),1
52,Pull-Up (2PT),1
53,Pull-Up (2PT),1
