,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
0,at Lewis-Clark State,L,-6,67.5,0.89,0.97,23-71,5-24,9-12,26-56,8-17,6-8,44,38,38.0,78.10000000000001,53.7,19.3,26.6,Whitman
1,at Montana Tech,W,10,70.3,1.02,0.89,27-63,9-26,9-12,22-55,4-12,14-24,38,37,29.7,71.1,50.7,22.7,25.8,Whitman
2,at Redlands,W,19,68.5,0.99,0.72,27-70,7-16,7-10,16-54,5-17,12-14,44,29,46.2,76.5,60.3,21.9,27.800000000000004,Whitman
3,at Chapman,W,13,86.1,0.85,0.72,28-72,7-21,10-13,20-61,2-8,18-24,42,31,36.1,78.4,57.49999999999999,28.999999999999996,27.700000000000003,Whitman
4,at Pomona-Pitzer,W,16,71.3,0.95,0.74,25-59,5-20,13-21,18-62,8-25,8-14,48,36,34.2,76.1,57.099999999999994,26.700000000000003,22.8,Whitman
5,at Caltech,W,22,66.4,0.9,0.58,26-67,5-23,3-5,16-60,2-15,4-4,51,33,47.599999999999994,73.8,60.699999999999996,30.099999999999998,27.3,Whitman
6,at Pacific Lutheran,W,33,69.6,1.15,0.7,29-67,11-23,11-17,17-47,3-15,10-24,38,27,29.4,90.3,58.5,11.5,22.5,Whitman
7,at Puget Sound,L,-15,76.3,0.83,1.06,20-55,5-18,18-26,28-63,12-29,10-11,37,36,24.3,77.8,50.7,28.799999999999997,23.0,Whitman
8,vs Eastern Ore.,L,-5,72.0,0.76,0.89,20-63,9-20,6-9,21-60,2-9,16-18,28,46,15.4,62.9,37.8,19.5,22.3,Whitman
9,at Central Wash.,L,-27,65.8,0.79,1.2,21-62,3-14,7-8,32-73,8-25,7-11,32,53,28.599999999999998,46.5,37.6,22.8,21.2,Whitman
10,vs Pacific (OR),L,-5,65.1,0.81,0.96,21-59,2-13,9-11,15-44,5-18,23-29,31,33,27.800000000000004,75.0,48.4,21.5,21.6,Whitman
11,vs Lewis & Clark,W,29,67.7,1.08,0.63,29-67,9-28,6-8,14-53,8-22,8-15,43,25,60.0,65.8,63.2,26.6,37.3,Whitman
12,vs Whitworth,W,10,67.9,1.0,0.83,24-55,2-10,18-29,21-48,4-17,12-16,26,28,31.2,72.7,48.1,19.1,34.2,Whitman
13,vs George Fox,W,27,63.0,1.03,0.6,27-61,4-18,7-15,15-49,2-18,6-14,39,27,35.3,84.39999999999999,59.099999999999994,15.9,25.2,Whitman
14,at Linfield,W,22,63.3,1.01,0.66,28-60,3-11,5-9,13-36,2-11,14-17,29,30,38.2,64.0,49.2,23.7,50.1,Whitman
15,at Willamette,W,13,63.9,1.24,1.06,30-62,6-21,13-15,24-58,6-18,12-15,36,32,31.2,72.2,52.900000000000006,12.5,16.1,Whitman
16,vs Puget Sound,W,11,72.1,0.85,0.71,20-55,5-20,16-23,18-69,6-34,8-11,47,40,34.2,69.39999999999999,54.0,31.900000000000002,21.2,Whitman
17,vs Pacific Lutheran,W,5,53.4,0.75,0.65,15-55,4-19,6-15,12-41,2-12,9-12,40,35,44.4,66.7,53.300000000000004,26.200000000000003,37.0,Whitman
18,at Lewis & Clark,W,27,66.1,0.98,0.57,29-62,6-22,1-2,13-61,4-27,8-11,49,21,48.3,85.39999999999999,70.0,30.2,14.899999999999999,Whitman
19,at Pacific (OR),W,9,64.2,1.07,0.97,25-51,7-16,12-18,20-52,6-16,14-15,27,33,21.4,65.60000000000001,45.0,21.8,27.400000000000002,Whitman
20,at Whitworth,W,19,60.0,1.12,0.81,29-62,4-14,5-8,20-47,4-14,4-6,29,32,28.599999999999998,73.1,47.5,11.700000000000001,32.1,Whitman
21,at George Fox,W,31,58.9,1.26,0.7,32-61,8-17,2-3,16-46,3-19,8-14,31,24,37.0,75.0,56.39999999999999,15.299999999999999,30.8,Whitman
22,vs Willamette,W,23,65.5,0.96,0.65,25-52,5-11,8-12,13-46,5-20,9-14,35,24,19.2,90.9,59.3,24.4,24.4,Whitman
23,vs Linfield,W,15,62.4,0.9,0.64,24-60,2-15,6-9,16-46,7-15,2-2,27,25,25.900000000000002,80.0,51.9,12.8,38.9,Whitman
24,vs Willamette,W,14,59.9,0.85,0.64,18-54,1-8,14-19,10-40,3-17,14-16,32,30,31.4,77.8,51.6,18.4,33.0,Whitman
25,vs Pacific (OR),W,6,57.5,1.15,1.04,25-50,4-11,12-18,19-43,4-7,18-23,32,20,29.599999999999998,96.0,61.5,17.4,13.900000000000002,Whitman
26,Total,,316,65.9,0.97,0.8,647-1575,138-459,233-347,475-1370,125-457,274-382,955,825,33.9,74.3,53.7,22.0,27.2,Whitman
